name,title,role
Miss S DEONARINE,Assistant Coroner,London Inner South
Mr JOHN BROADBRIDGE,Assistant Coroner,North Yorkshire and York
Ms Sally Hatfield,Assistant Coroner,Manchester City
Mrs Sally Anne Robinson,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Dr Richard Ian Brittain,Assistant Coroner,London Inner North
Miss Jessica Swift,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mr David Lewis,Assistant Coroner,Liverpool and the Wirral
Christopher John Beverley,Assistant Coroner,Blackpool and Fylde
Mr Simon Nicholas Burge,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Miss Fiona Jane Gingell,Assistant Coroner,Nottinghamshire
Mr Robert Cohen,Assistant Coroner,Cumbria
Ms Allison SUMMERS,Assistant Coroner,Kent Mid and Medway
Mrs Michaela Amy Blackmore,Assistant Coroner,Warwickshire
Mrs Julie Mitchell,Assistant Coroner,Greater Manchester North
Mr Nicholas Walker,Assistant Coroner,Staffordshire and Stoke-on-Trent
Miss Linda Jacobs,Assistant Coroner,London City
Mr Alexander Miles Frodsham,Assistant Coroner,Cheshire
Mr Tim Holloway,Assistant Coroner,Blackpool and Fylde
Miss Georgina Gibbs,Assistant Coroner,Kent
Helen Daly,Assistant Coroner,London North
Mr Duncan Ritchie,Assistant Coroner,Staffordshire and Stoke-on-Trent
James Stewart Hunter,Assistant Coroner,Lancashire and Blackburn with Darwen
Mr Matthew Kewley,Assistant Coroner,Derby and Derbyshire
Mr Aled Wyn Gruffydd,Assistant Coroner,Swansea and Neath Port Talbot
Mr Jonathan D P Stevens,Assistant Coroner,London Inner North
Mrs LINDA KAREN HADFIELD LEE,Assistant Coroner,Coventry
Dr Marc Lindsey Leeming,Assistant Coroner,Southend (No 2)
Mrs Karen Dilks,Assistant Coroner,Newcastle and North Tyneside
Miss Rachel Raheela Syed,Assistant Coroner,Greater Manchester West
Mrs Deborah Suzanne Rookes,Assistant Coroner,Dorset
Miss Isobel Thistlethwaite,Assistant Coroner,Leicester City and South Leicestershire
Mr Crispin Oliver,Assistant Coroner,County Durham and Darlington
Miss Karin Elizabeth Welsh,Assistant Coroner,Sunderland
Mr Nicholas Leslie Rheinberg,Assistant Coroner,Wiltshire and Swindon
Ms ANN MARGARET TAYLOR,Assistant Coroner,Cumbria
Miss Janine Richards,Assistant Coroner,County Durham and Darlington
Mr Richard Thomas Middleton,Assistant Coroner,Dorset
Miss Sabyta Kaushal,Assistant Coroner,Derby and Derbyshire
Ms Angela Woolnough,Assistant Coroner,Coventry
Mrs Krestina Hayes,Assistant Coroner,Surrey
Ms Susan Ridge,Assistant Coroner,Surrey
Mrs Elizabeth Megan Brown,Assistant Coroner,Nottinghamshire
Miss ana samuel,Assistant Coroner,Birmingham and Solihull
Mr Mark Andrew Beresford,Assistant Coroner,Yorkshire South
Mr Adam Hodson,Assistant Coroner,Birmingham and Solihull
Ms Katy Ainge,Assistant Coroner,Liverpool and the Wirral
Mr Robert Craig Simpson,Assistant Coroner,"West Sussex, Brighton and Hove"
Mr Stephen Simblet KC,Assistant Coroner,Essex
Ms Sarah Nolan,Assistant Coroner,Derby and Derbyshire
Mr Harry Nathaniel Lambert,Assistant Coroner,London Inner North
Dr Nicholas Alastair Shaw,Assistant Coroner,Cumbria
Samuel James Faulks,Assistant Coroner,Teesside
Mr Scott Matthewson,Assistant Coroner,Kent Mid and Medway
Joanna Lesley Pratt,Assistant Coroner,East Sussex
Ms Abigail Combes,Assistant Coroner,Yorkshire South West
Mr Andrew James Blair,Assistant Coroner,Teesside
Mr Graham Rollason Danbury,Assistant Coroner,Hertfordshire
Mr Grant Davies,Assistant Coroner,Dorset
Miss Laura Fox,Assistant Coroner,Lancashire and Blackburn with Darwen
Mr Graham William Anthony Jackson,Assistant Coroner,"Sefton, Knowsley and St Helens"
John Goldring,Judge Coroner,Yorkshire South East
Lord Burnett of Maldon,Judge Coroner,Honorary Member
Mr Nicholas Sanders,Judge Coroner,Corresponding Member
Mr Graeme Dewar McKerrell,Judge Coroner,Corresponding Member
Mr Paul B Matthews,Judge Coroner,Retired Member
Mr Roger William Elsey,Judge Coroner,Corresponding Member
Mrs Deborah Ann,Judge Coroner,Corresponding Member
HHJ Mark Lucraft QC,Judge Coroner,Honorary Member
Nigel D Chapman,Former Coroner,Retired Member
Mr Mark Noel Kendall,Former Coroner,North Lincolnshire and Grimsby
Edward T Carlyon,Former Coroner,Retired Member
Mr Sheriff S Payne,Former Coroner,Retired Member
Lawrence S Addicott,Former Coroner,Retired Member
Ms Maureen Taylor,Former Coroner,Retired Member
Mr C W Johnson,Former Coroner,Retired Member
Robert William Wilson,Former Coroner,Retired Member
Michael J F Sheffield,Former Coroner,Retired Member
Peter Gerard Ashworth,Former Coroner,Retired Member
Dr Alexander Robert Walker Forrest,Former Coroner,Retired Member
Mr Michael Singleton,Former Coroner,Retired Member
Dr Paul A Knapman,Former Coroner,Retired Member
D C Masters,Former Coroner,Retired Member
Rodney H G Corner MBE,Former Coroner,Retired Member
Miss Veronica HAMILTON-DEELEY,Former Coroner,Retired Member
Mr V F Round,Former Coroner,Retired Member
Mr David Clark Horsley,Former Coroner,Retired Member
Mr Geraint Williams,Former Coroner,Retired Member
Alan L Maddrell,Former Coroner,Retired Member
Michael T Gwynne,Former Coroner,Retired Member
Mr David R Sarginson,Former Coroner,Retired Member
Dr Peter Dean,Former Coroner,Retired Member
Mr D T Bowen,Former Coroner,Retired Member
Mr Paul Kelly,Former Coroner,Retired Member
Wm J Armstrong OBE,Former Coroner,Retired Member
Mr Christopher Briggs,Former Coroner,Greater Manchester South
Dr E. Emma Carlyon,Former Coroner,Retired Member
Hamish M Turner,Former Coroner,Retired Member
P M Walters,Former Coroner,Retired Member
James M Symington,Former Coroner,Retired Member
Mr Christopher Kent Sumner,Former Coroner,Retired Member
Mr DAVID LLEWELYN ROBERTS,Former Coroner,Retired Member
William R Morris,Former Coroner,Retired Member
Mr John C Taylor,Former Coroner,Retired Member
Eric Armstrong,Former Coroner,Retired Member
Mr Christopher Dorries,Former Coroner,Retired Member
David M Halpern,Former Coroner,Retired Member
J Stewart Atkinson,Former Coroner,Retired Member
Mr Ian G McCreath M.B.E.,Former Coroner,Retired Member
Mr Peter J Bedford,Former Coroner,Retired Member
Michael R Rose,Former Coroner,Retired Member
Richard J Allen,Former Coroner,Wolverhampton
Mr Andrew M Bradley,Former Coroner,Retired Member
Mr Dewi Pritchard Jones,Former Coroner,Retired Member
Mr Rob Turnbull,Former Coroner,Retired Member
Richard M Whittington,Former Coroner,Retired Member
Mr John Matthews,Former Coroner,Retired Member
Mr Ian Smith,Former Coroner,Retired Member
Mike C Johnston,Former Coroner,Retired Member
Dr David J Osborne,Former Coroner,Retired Member
Mr Edward G Thomas,Former Coroner,Retired Member
Keith M Dowding,Former Coroner,Retired Member
Mr Peter Judge,Former Coroner,Corresponding Member
C W Malcolm Donnelly,Former Coroner,Retired Member
T Kelly,Former Coroner,Retired Member
D Hinchliff,Former Coroner,Retired Member
Mr Richard G Taylor,Former Coroner,Retired Member
Miss Alison M Thompson MBE,Former Coroner,Retired Member
E Stanley Hooper,Former Coroner,Retired Member
Richard A Hulett,Former Coroner,Retired Member
David Mitford,Former Coroner,Retired Member
Mr Geoff L Fell,Former Coroner,Retired Member
Keith St John Wiseman,Former Coroner,Retired Member
Mr Stuart P G Fisher,Former Coroner,Retired Member
Mr C. Brian Gallon,Former Coroner,Retired Member
Roger Douglas Atkinson,Former Coroner,Retired Member
Mr Andrew Adrian Haigh,Former Coroner,Retired Member
Anthony F T Sibcy,Former Coroner,Retired Member
R J Balmain,Former Coroner,Retired Member
Mr Grahame Antony Short,Former Coroner,Retired Member
Miss Wendy James,Former Coroner,Retired Member
Ms Lisa Jeanette Hashmi,Former Coroner,Retired Member
Leslie Sommer,Retired/Honorary members,Honorary Member
"Mr Michael J C Burgess CVO, OBE",Retired/Honorary members,Retired Member
Ms Selena R Lynch,Retired/Honorary members,Retired Member
Ms Rebecca Margaret COBB,Retired/Honorary members,Retired Member
Ms Henrietta Hill QC,Retired/Honorary members,Honorary Member
Mr Andrew Tweddle,Retired/Honorary members,County Durham and Darlington
Miss Lynette Hill,Retired/Honorary members,Honorary Member
Mr Michael F Coker MBE,Retired/Honorary members,Retired Member
N G Gardiner,Retired/Honorary members,Retired Member
Mr Tony Brown,Retired/Honorary members,Retired Member
Dr Roy N Palmer,Retired/Honorary members,London City
Mr Thomas LUCE,Retired/Honorary members,Honorary Member
Mr Roger J Sykes,Retired/Honorary members,Retired Member
Dr William F G Dolman,Retired/Honorary members,Retired Member
Dr John Leckey,Retired/Honorary members,Honorary Member
Mr Raymond Hemingray,Retired/Honorary members,Honorary Member
Mr Robert Chapman,Retired/Honorary members,Retired Member
Mr Ian Smith,Retired/Honorary members,Retired Member
William R Knowles,Retired/Honorary members,Retired Member
Mr T H Kirkman,Retired/Honorary members,Retired Member
Mrs Becky Gunning,Retired/Honorary members,Honorary Member
Mrs Caroline Beasley-Murray OBE,Retired/Honorary members,Retired Member
Dr Robert Hunter,Retired/Honorary members,Retired Member
Mr Geoffrey M. Saul,Retired/Honorary members,Retired Member
Mr DAVID MORRIS,Retired/Honorary members,Retired Member
Mrs Jemma Eadie,Fiscal,Corresponding Member
Mrs Viki Yuille,Fiscal,Corresponding Member
Miss Stephanie Blair,Fiscal,Corresponding Member
Mr David S. A. Green,Fiscal,Corresponding Member
Ms Selena Brown,Fiscal,Corresponding Member
Ms Denise J Bruce,Fiscal,Corresponding Member
Mr Geoffrey Main,Fiscal,Corresponding Member
David B Harvie,Fiscal,Corresponding Member
Mr Andy Shanks,Fiscal,Corresponding Member
Miss Jennifer Forbes,Fiscal,Corresponding Member
Mr David Crawford,Fiscal,Corresponding Member
Mrs Katrina Parkes,Fiscal,Corresponding Member
